package	upstream_url
keysmith	https://github.com/KDE/keysmith
keyutils	https://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git/
kfilemetadata	https://github.com/KDE/kfilemetadata
kfilemetadata5	https://github.com/KDE/kfilemetadata
kfind	https://github.com/KDE/kfind
kfourinline	https://github.com/KDE/kfourinline
kgamma	https://github.com/KDE/kgamma
kgeography	https://github.com/KDE/kgeography
kget	https://github.com/KDE/kget
kglobalaccel	https://github.com/KDE/kglobalaccel
kglobalaccel5	https://github.com/KDE/kglobalaccel
kglobalacceld	https://github.com/KDE/kglobalacceld
kgoldrunner	https://github.com/KDE/kgoldrunner
kgpg	https://github.com/KDE/kgpg
kgraphviewer	https://github.com/KDE/kgraphviewer
kguiaddons	https://github.com/KDE/kguiaddons
kguiaddons5	https://github.com/KDE/kguiaddons
khangman	https://github.com/KDE/khangman
khealthcertificate	https://github.com/KDE/khealthcertificate
khelpcenter	https://github.com/KDE/khelpcenter
kholidays	https://github.com/KDE/kholidays
kholidays5	https://github.com/KDE/kholidays
ki18n	https://github.com/KDE/ki18n
ki18n5	https://github.com/KDE/ki18n
kiconthemes	https://github.com/KDE/kiconthemes
kiconthemes5	https://github.com/KDE/kiconthemes
kid3	https://github.com/KDE/kid3
kidentitymanagement	https://github.com/KDE/kidentitymanagement
kidletime	https://github.com/KDE/kidletime
kidletime5	https://github.com/KDE/kidletime
kig	https://github.com/KDE/kig
kigo	https://github.com/KDE/kigo
kile	https://invent.kde.org/office/kile
killbots	https://github.com/KDE/killbots
kImageAnnotator	https://github.com/ksnip/kImageAnnotator
kimageformats	https://github.com/KDE/kimageformats
kimageformats5	https://github.com/KDE/kimageformats
kimagemapeditor	https://github.com/KDE/kimagemapeditor
kimap	https://github.com/KDE/kimap
kinfocenter	https://github.com/KDE/kinfocenter
kinit5	https://github.com/KDE/kinit
kio	https://github.com/KDE/kio
kio-admin	https://github.com/KDE/kio-admin
kio-extras	https://github.com/KDE/kio-extras
kio-gdrive	https://github.com/KDE/kio-gdrive
kio-zeroconf	https://github.com/KDE/kio-zeroconf
kio5	https://github.com/KDE/kio
kirigami	https://github.com/KDE/kirigami
kirigami-addons	https://github.com/KDE/kirigami-addons
kirigami-gallery	https://github.com/KDE/kirigami-gallery
kirigami5	https://github.com/KDE/kirigami
kiriki	https://github.com/KDE/kiriki
kitemmodels	https://github.com/KDE/kitemmodels
kitemmodels5	https://github.com/KDE/kitemmodels
kitemviews	https://github.com/KDE/kitemviews
kitemviews5	https://github.com/KDE/kitemviews
kiten	https://github.com/KDE/kiten
kitinerary	https://github.com/KDE/kitinerary
kjobwidgets	https://github.com/KDE/kjobwidgets
kjobwidgets5	https://github.com/KDE/kjobwidgets
kjumpingcube	https://github.com/KDE/kjumpingcube
kldap	https://github.com/KDE/kldap
kleopatra	https://github.com/KDE/kleopatra
klettres	https://github.com/KDE/klettres
klevernotes	https://github.com/KDE/klevernotes
klickety	https://github.com/KDE/klickety
klines	https://github.com/KDE/klines
kmag	https://github.com/KDE/kmag
kmahjongg	https://github.com/KDE/kmahjongg
kmail	https://github.com/KDE/kmail
kmail-account-wizard	https://github.com/KDE/kmail-account-wizard
kmailtransport	https://github.com/KDE/kmailtransport
kmbox	https://github.com/KDE/kmbox
kmenuedit	https://github.com/KDE/kmenuedit
kmime	https://github.com/KDE/kmime
kmines	https://github.com/KDE/kmines
kmix	https://github.com/KDE/kmix
kmoretools	https://github.com/KDE/kmoretools
kmousetool	https://github.com/KDE/kmousetool
kmouth	https://github.com/KDE/kmouth
kmplot	https://github.com/KDE/kmplot
kmymoney	https://github.com/KDE/kmymoney
knavalbattle	https://github.com/KDE/knavalbattle
knetwalk	https://github.com/KDE/knetwalk
knewstuff	https://github.com/KDE/knewstuff
knewstuff5	https://github.com/KDE/knewstuff
knights	https://github.com/KDE/knights
knighttime	https://github.com/KDE/knighttime
knotifications	https://github.com/KDE/knotifications
knotifications5	https://github.com/KDE/knotifications
knotifyconfig	https://github.com/KDE/knotifyconfig
knotifyconfig5	https://github.com/KDE/knotifyconfig
koko	https://github.com/KDE/koko
kolf	https://github.com/KDE/kolf
kollision	https://github.com/KDE/kollision
kolourpaint	https://github.com/KDE/kolourpaint
kompare	https://github.com/KDE/kompare
konqueror	https://github.com/KDE/konqueror
konquest	https://github.com/KDE/konquest
konsole	https://github.com/KDE/konsole
kontact	https://github.com/KDE/kontact
kontactinterface	https://github.com/KDE/kontactinterface
kontrast	https://github.com/KDE/kontrast
konversation	https://github.com/KDE/konversation
kopeninghours	https://github.com/KDE/kopeninghours
korganizer	https://github.com/KDE/korganizer
kosmindoormap	https://github.com/KDE/kosmindoormap
kpackage	https://github.com/KDE/kpackage
kpackage5	https://github.com/KDE/kpackage
kparts	https://github.com/KDE/kparts
kparts5	https://github.com/KDE/kparts
kpat	https://github.com/KDE/kpat
kpeople	https://github.com/KDE/kpeople
kpeople5	https://github.com/KDE/kpeople
kpeoplevcard	https://github.com/KDE/kpeoplevcard
kpimtextedit	https://github.com/KDE/kpimtextedit
kpipewire	https://github.com/KDE/kpipewire
kpkpass	https://github.com/KDE/kpkpass
kplotting	https://github.com/KDE/kplotting
kplotting5	https://github.com/KDE/kplotting
kpmcore	https://github.com/KDE/kpmcore
kpty	https://github.com/KDE/kpty
kpty5	https://github.com/KDE/kpty
kpublictransport	https://github.com/KDE/kpublictransport
kqtquickcharts	https://github.com/KDE/kqtquickcharts
kquickcharts	https://github.com/KDE/kquickcharts
kquickcharts5	https://github.com/KDE/kquickcharts
kquickimageeditor	https://github.com/KDE/kquickimageeditor
krb5	http://web.mit.edu/kerberos/dist/krb5/
krdc	https://github.com/KDE/krdc
krdp	https://github.com/KDE/krdp
krename	https://github.com/KDE/krename
kreversi	https://github.com/KDE/kreversi
krfb	https://github.com/KDE/krfb
krita	https://github.com/KDE/krita
kruler	https://github.com/KDE/kruler
krunner	https://github.com/KDE/krunner
krunner5	https://github.com/KDE/krunner
krusader	https://github.com/KDE/krusader
ksanecore	https://github.com/KDE/ksanecore
kscreen	https://github.com/KDE/kscreen
kscreenlocker	https://github.com/KDE/kscreenlocker
kseexpr	https://github.com/KDE/kseexpr
kservice	https://github.com/KDE/kservice
kservice5	https://github.com/KDE/kservice
kshisen	https://github.com/KDE/kshisen
ksirk	https://github.com/KDE/ksirk
ksmtp	https://github.com/KDE/ksmtp
ksnakeduel	https://github.com/KDE/ksnakeduel
kspaceduel	https://github.com/KDE/kspaceduel
ksquares	https://github.com/KDE/ksquares
ksshaskpass	https://github.com/KDE/ksshaskpass
kstars	https://github.com/KDE/kstars
kstatusnotifieritem	https://github.com/KDE/kstatusnotifieritem
ksudoku	https://github.com/KDE/ksudoku
ksvg	https://github.com/KDE/ksvg
ksystemlog	https://github.com/KDE/ksystemlog
ksystemstats	https://github.com/KDE/ksystemstats
kteatime	https://github.com/KDE/kteatime
ktextaddons	https://github.com/KDE/ktextaddons
ktexteditor	https://github.com/KDE/ktexteditor
ktexteditor5	https://github.com/KDE/ktexteditor
ktexttemplate	https://github.com/KDE/ktexttemplate
ktextwidgets	https://github.com/KDE/ktextwidgets
ktextwidgets5	https://github.com/KDE/ktextwidgets
ktimer	https://github.com/KDE/ktimer
ktimetracker	https://github.com/KDE/ktimetracker
ktnef	https://github.com/KDE/ktnef
ktorrent	https://github.com/KDE/ktorrent
ktouch	https://github.com/KDE/ktouch
ktuberling	https://github.com/KDE/ktuberling
kturtle	https://github.com/KDE/kturtle
kubrick	https://github.com/KDE/kubrick
kunifiedpush	https://github.com/KDE/kunifiedpush
kunitconversion	https://github.com/KDE/kunitconversion
kunitconversion5	https://github.com/KDE/kunitconversion
kwallet	https://github.com/KDE/kwallet
kwallet-pam	https://github.com/KDE/kwallet-pam
kwallet5	https://github.com/KDE/kwallet
kwalletmanager	https://github.com/KDE/kwalletmanager
kwave	https://github.com/KDE/kwave
kwayland	https://github.com/KDE/kwayland
kwayland-integration	https://github.com/KDE/kwayland-integration
kwayland5	https://github.com/KDE/kwayland
kweathercore	https://github.com/KDE/kweathercore
kwidgetsaddons	https://github.com/KDE/kwidgetsaddons
kwidgetsaddons5	https://github.com/KDE/kwidgetsaddons
kwin	https://github.com/KDE/kwin
kwin-x11	https://github.com/KDE/kwin-x11
kwindowsystem	https://github.com/KDE/kwindowsystem
kwindowsystem5	https://github.com/KDE/kwindowsystem
kwordquiz	https://github.com/KDE/kwordquiz
kwrited	https://github.com/KDE/kwrited
kxmlgui	https://github.com/KDE/kxmlgui
kxmlgui5	https://github.com/KDE/kxmlgui
labplot	https://github.com/KDE/labplot
labwc	https://github.com/labwc/labwc
lager	https://github.com/arximboldi/lager
layer-shell-qt	https://github.com/KDE/layer-shell-qt
lcms2	http://github.com/mm2/Little-CMS
lensfun	https://github.com/lensfun/lensfun
leptonica	https://github.com/danbloomberg/leptonica
less	https://github.com/wofr06/lesspipe
lftp	https://github.com/lavv17/lftp
lhasa	https://github.com/fragglet/lhasa
